Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_1,2000,0.17553286,142,971.7743,0.00939126,0.19639292,3923.504,975.4418,0.014043632,32.420723,336.95474,29.261438,2.4589472
Grid_Cell_1,2001,0.1754726,108,937.7242,0.011375536,0.34379047,3389.7603,1186.4988,0.028007455,39.497536,335.89294,27.486353,2.1920815
Grid_Cell_1,2002,0.1754726,139,928.3894,0.011432793,0.33039525,3648.674,1034.9985,0.017266113,44.47815,330.8013,28.484705,2.2096386
Grid_Cell_1,2003,0.1754726,183,889.0539,0.011572044,0.28642476,3508.5972,980.06323,0.014674771,46.512665,342.00565,28.259272,2.1692872
Grid_Cell_1,2004,0.1755358,202,963.15704,0.011573121,0.22538164,3503.1602,1121.3579,0.026855035,40.420956,338.7686,28.556604,2.186826
Grid_Cell_1,2005,0.1754726,114,899.96985,0.011645208,0.31779158,3464.7021,1139.5912,0.03490595,45.225407,341.72226,28.358149,1.9112623
Grid_Cell_1,2006,0.1754726,108,981.2283,0.010413513,0.34132403,3600.3352,1303.7015,0.043316837,38.16342,347.9761,29.017603,2.064295
Grid_Cell_1,2007,0.17547287,184,968.3459,0.010957509,0.31592357,3452.8098,1197.2589,0.028812565,38.03354,351.54016,28.31399,2.1494248
Grid_Cell_1,2008,0.1755358,177,871.9977,0.01058119,0.32450375,3439.1152,1091.1963,0.033651587,46.774033,341.0252,27.868555,2.0595603
Grid_Cell_1,2009,0.1754726,163,922.63477,0.011274965,0.32534733,3504.247,965.84186,0.012927599,44.500694,323.95578,28.805628,2.062016
Grid_Cell_1,2010,0.1754726,329,952.5977,0.010929941,0.29464576,3603.852,1093.7139,0.036180813,43.18263,331.11688,28.94726,2.1388385
Grid_Cell_1,2011,0.17547287,283,896.0435,0.009812981,0.26397946,3972.953,867.70654,0.022890627,50.78675,299.8912,29.362604,2.3322344
Grid_Cell_1,2012,0.1755358,691,927.8487,0.010514041,0.3383141,3711.771,1299.9456,0.07132006,45.709854,302.7756,29.373316,2.3669808
Grid_Cell_1,2013,0.1754726,739,940.47986,0.009954413,0.060136173,3813.0283,1036.8237,0.0478405,43.563366,319.5967,30.346186,2.2452614
Grid_Cell_1,2014,0.1754726,959,884.8452,0.010110009,0.06159309,3969.7256,961.58124,0.032524776,48.218376,283.8595,30.225702,2.3984478
Grid_Cell_1,2015,0.1754726,955,846.9751,0.009646355,0.06718053,4006.6565,900.9025,0.02266286,51.784546,269.6162,29.702723,2.2079444
Grid_Cell_1,2016,0.17553607,792,439.88892,0.010127109,0.064194255,4056.21,403.44107,0.019735707,73.81478,202.83374,29.968256,2.0989983
Grid_Cell_1,2017,0.17547287,952,235.55609,0.009411829,0.059491925,4243.8022,247.0932,0.004949952,88.89946,150.23201,29.954645,2.3600512
Grid_Cell_1,2018,0.1754726,1402,298.39362,0.009798384,0.05625408,4271.7285,322.1316,0.007686072,93.43127,151.62178,29.893091,2.565289
Grid_Cell_1,2019,0.17547287,1634,605.0242,0.010609444,0.058006942,3866.0242,784.08105,0.023126585,72.18807,221.0498,29.339106,2.2716582
Grid_Cell_1,2020,0.17553607,2854,919.049,0.010618493,0.05581697,3598.6218,1083.4749,0.06061425,52.710934,334.22485,28.438501,1.9955262
Grid_Cell_1,2021,0.17547314,3528,829.9485,0.010318416,0.059484854,3576.625,912.67993,0.039163347,53.999596,304.0795,28.710596,1.9801806
Grid_Cell_1,2022,0.17547292,3730,844.7853,0.010085899,0.06344564,3445.3857,1160.0377,0.062250417,51.27426,309.7953,28.21972,1.996366
Grid_Cell_1,2023,0.17547314,3549,909.7865,0.010023493,0.06360672,3516.2393,1028.2733,0.044448525,45.839596,328.4462,29.512568,1.9218717
Grid_Cell_1,2024,0.17553614,4400,899.7628,0.010445129,0.06140466,3643.3357,959.20966,0.033126596,58.788185,304.89413,28.967402,1.9533992
Grid_Cell_1,2025,0.1754726,5521,829.19867,0.00972457,0.058457494,3476.3232,1071.026,0.05144961,52.65055,308.94382,29.40246,1.874823
Grid_Cell_10,2000,0.15224445,142,912.63916,0.007699334,0.1860507,4177.509,949.3349,0.004657769,47.401962,311.30847,27.602716,2.511219
Grid_Cell_10,2001,0.15221643,108,878.05304,0.009903732,0.28079405,3637.1396,1156.2804,0.008555147,55.166588,315.91446,25.9602,2.3505745
