Grid_Cell,Year,Albedo,Conflict,Evap_mm,Humidity,NDVI,PET_mm,Rain_mm,Runoff_mm,SensHeat_Wm2,SoilM_mm,Temp_C,Wind_ms
Grid_Cell_1,2000,0.13171321,0,367.29694,0.00638111,0.16340487,2756.9832,397.68222,0.002366232,35.907135,108.61953,13.251093,5.0246115
Grid_Cell_1,2001,0.13620013,0,390.0011,0.006925392,0.13066839,2483.6824,484.50204,0.002822723,40.1892,128.56679,13.17602,5.029684
Grid_Cell_1,2002,0.16937445,0,463.63733,0.006591848,0.16904366,2332.6365,564.0527,0.005494027,33.30253,166.13127,12.300074,4.5407343
Grid_Cell_1,2003,0.16838934,0,416.2256,0.006065702,0.11678989,2253.3088,546.4649,0.008391805,30.742502,168.6001,11.718958,4.099287
Grid_Cell_1,2004,0.1354199,0,445.07477,0.006798544,0.15081325,2336.6467,573.7592,0.00533862,35.135372,164.07497,12.835352,4.587885
Grid_Cell_1,2005,0.1318417,0,449.60663,0.006631678,0.14801982,2433.15,600.30396,0.007174195,27.957773,170.50249,13.74621,4.7335567
Grid_Cell_1,2006,0.18163893,0,425.5456,0.006506338,0.15758592,2642.4158,570.4722,0.011019665,27.776615,165.69954,13.364588,4.9631305
Grid_Cell_1,2007,0.13281831,0,429.04138,0.006296773,0.17796673,2896.2737,503.5856,0.004339103,32.16598,149.09692,13.994623,5.0293903
Grid_Cell_1,2008,0.14533514,0,445.4345,0.006468325,0.1533496,2412.1672,475.1101,0.005405806,28.396255,158.18034,13.023676,4.5510902
Grid_Cell_1,2009,0.14760377,0,488.1054,0.006391293,0.1617437,2434.022,661.2635,0.008815747,24.986816,166.9965,13.269434,4.798934
Grid_Cell_1,2010,0.13785872,0,425.3503,0.006719677,0.14975588,2577.065,573.6787,0.009732381,30.073093,162.45673,14.2362,4.7162356
Grid_Cell_1,2011,0.17903616,0,505.13528,0.006157059,0.2511433,2583.2969,648.9515,0.010863089,23.416512,172.32578,12.390619,4.83607
Grid_Cell_1,2012,0.18511742,0,503.53656,0.006516923,0.14995465,2859.421,633.24677,0.018874338,26.898802,160.67624,13.606623,5.2303686
Grid_Cell_1,2013,0.14850044,0,459.963,0.006142835,0.036220755,2757.1565,510.34323,0.006645757,28.20349,148.78302,13.676935,5.015364
Grid_Cell_1,2014,0.15319099,0,446.34143,0.00610816,0.03840069,3118.0305,550.95984,0.005264415,29.91526,133.75735,13.584253,5.7177973
Grid_Cell_1,2015,0.15206781,0,474.2606,0.005917808,0.052590296,3050.9495,533.96497,0.004755171,26.79557,145.29926,14.070612,5.2870197
Grid_Cell_1,2016,0.14407459,0,409.2856,0.006352272,0.033463392,2788.7617,455.9526,0.00780153,32.953316,146.15086,13.61175,4.9720516
Grid_Cell_1,2017,0.13295026,0,266.40518,0.006074606,0.031361785,3116.0935,237.06,0.002539753,41.616985,108.98237,14.047937,5.2932363
Grid_Cell_1,2018,0.1354484,263,264.43518,0.005966768,0.050456736,3309.8064,257.9256,0.001456051,46.09192,85.15406,14.423304,5.466316
Grid_Cell_1,2019,0.12357613,70,270.04272,0.006181204,0.051748466,3096.8994,240.72768,0.002030343,47.899113,75.92966,14.5646305,5.0365553
Grid_Cell_1,2020,0.1259354,75,364.58084,0.005966642,0.052223332,3374.3176,478.8647,0.000192,41.992973,112.9177,14.629145,5.6375346
Grid_Cell_1,2021,0.13445866,161,381.18906,0.006342567,0.055602763,3069.6187,527.20306,0.00014,37.487843,119.23331,14.397791,5.257167
Grid_Cell_1,2022,0.12970608,449,365.1173,0.006150256,0.05536958,3315.5383,532.5026,0.000193,38.489563,115.21468,14.503534,5.6644483
Grid_Cell_1,2023,0.13263856,3063,393.0789,0.006420795,0.056359027,3107.5525,584.5305,0.000166,37.58442,121.14405,14.904749,5.4171457
Grid_Cell_1,2024,0.12960291,13110,364.929,0.006020096,0.059463892,3325.2915,534.2533,0.000213,44.644344,115.00974,14.634882,5.5239472
Grid_Cell_1,2025,0.14712562,16728,407.99,0.006220765,0.0575566,3161.3801,556.438,0.000134,46.370792,118.94388,14.409906,5.171715
Grid_Cell_10,2000,0.12773113,0,355.7481,0.006514459,0.14148906,2850.7827,372.02246,0.000522,42.784122,165.8273,13.317987,5.337082
Grid_Cell_10,2001,0.1304516,0,382.66895,0.007088348,0.110870056,2543.34,468.61523,0.000653,45.83093,190.20628,13.110773,5.60352
Grid_Cell_10,2002,0.16158485,0,487.7354,0.006701669,0.29724428,2372.8213,532.116,0.001111264,31.778612,231.31413,12.356073,5.037618
Grid_Cell_10,2003,0.1697535,0,456.29684,0.005977911,0.1862336,2372.1855,520.6194,0.001759113,25.425507,245.10794,11.863306,4.411958
Grid_Cell_10,2004,0.13610737,0,489.3361,0.006645447,0.2184295,2494.452,509.33545,0.00107028,34.010605,241.81813,12.805506,4.8959107
Grid_Cell_10,2005,0.13299048,0,504.7903,0.006734695,0.23833036,2559.996,522.5353,0.001248041,29.298035,245.20508,13.677362,5.1159196
Grid_Cell_10,2006,0.16289634,0,441.99612,0.006757136,0.15675506,2648.3745,475.01315,0.00313736,35.981274,239.3192,13.025812,5.3250484
